2021-10-19 15:43:03.593 [http-nio-9998-exec-4] INFO  com.mxy.hospital.util.HttpRequestHelper - 加密前：1000_0|10|1|1634629383577|sadjkan2334dns2ub2
2021-10-19 15:43:03.595 [http-nio-9998-exec-4] INFO  com.mxy.hospital.util.HttpRequestHelper - 加密后：b69c14312a222fcc1e02689835d86e9e
2021-10-19 15:43:03.612 [http-nio-9998-exec-4] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data limit=10&sign=b69c14312a222fcc1e02689835d86e9e&page=1&hoscode=1000_0&timestamp=1634629383577&
2021-10-19 15:43:57.863 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=44f162029abb45f9ff0a5f743da0650d&bigname=全部科室&intro=门诊部核酸检测门诊(东院)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=门诊部核酸检测门诊(东院)&depcode=200050923&timestamp=1634629437827&
2021-10-19 15:43:58.964 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.034 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=44f162029abb45f9ff0a5f743da0650d&bigname=全部科室&intro=国际医疗部门诊&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=国际医疗部门诊&depcode=200050924&timestamp=1634629438997&
2021-10-19 15:43:59.092 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.154 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=44f162029abb45f9ff0a5f743da0650d&bigname=全部科室&intro=临床营养科(西院国际医疗)&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=临床营养科(西院国际医疗)&depcode=200050931&timestamp=1634629439120&
2021-10-19 15:43:59.190 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
2021-10-19 15:43:59.239 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 发送请求：post data bigcode=44f162029abb45f9ff0a5f743da0650d&bigname=全部科室&intro=内分泌科互联网诊疗&sign=8b09106b01bca6c968c473b1f883b471&hoscode=1000_0&depname=内分泌科互联网诊疗&depcode=200050964&timestamp=1634629439207&
2021-10-19 15:43:59.274 [http-nio-9998-exec-3] INFO  com.mxy.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":null,"ok":true}
